# Frame Index, Cluster Index
0,12
1,7
2,4
3,7
4,7
5,8
6,8
7,7
8,8
9,8
10,7
11,12
12,7
13,0
14,8
15,12
16,8
17,12
18,1
19,6
20,9
21,8
22,7
23,7
24,7
25,7
26,7
27,8
28,8
29,7
30,1
31,12
32,1
33,8
34,4
35,7
36,1
37,7
38,7
39,7
40,1
41,1
42,1
43,7
44,7
45,4
46,4
47,7
48,7
49,7
50,4
51,4
52,4
53,15
54,7
55,7
56,17
57,16
58,1
59,15
60,17
61,8
62,16
63,16
64,8
65,4
66,7
67,7
68,4
69,4
70,7
71,7
72,0
73,0
74,7
75,16
76,16
77,16
78,1
79,6
80,6
81,12
82,6
83,7
84,7
85,6
86,7
87,7
88,0
89,0
90,16
91,8
92,0
93,8
94,8
95,8
96,0
97,15
98,0
99,0
100,3
101,3
102,16
103,8
104,8
105,8
106,8
107,8
108,10
109,10
110,7
111,10
112,7
113,7
114,12
115,2
116,3
117,16
118,16
119,16
120,6
121,16
122,16
123,7
124,15
125,0
126,6
127,6
128,10
129,8
130,6
131,0
132,0
133,7
134,0
135,16
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,0
144,0
145,10
146,1
147,7
148,7
149,0
150,0
151,1
152,1
153,3
154,3
155,3
156,12
157,10
158,6
159,10
160,1
161,1
162,2
163,3
164,3
165,10
166,1
167,8
168,10
169,3
170,3
171,10
172,3
173,1
174,1
175,10
176,1
177,1
178,16
179,16
180,0
181,16
182,4
183,16
184,4
185,8
186,15
187,8
188,1
189,1
190,1
191,1
192,16
193,1
194,10
195,1
196,1
197,6
198,16
199,16
200,6
201,3
202,10
203,10
204,3
205,3
206,10
207,3
208,3
209,1
210,1
211,1
212,12
213,10
214,5
215,12
216,4
217,10
218,10
219,12
220,6
221,6
222,1
223,4
224,6
225,1
226,1
227,6
228,15
229,6
230,10
231,15
232,6
233,6
234,6
235,6
236,6
237,3
238,6
239,1
240,16
241,8
242,3
243,1
244,1
245,1
246,1
247,16
248,1
249,1
250,1
251,16
252,16
253,16
254,1
255,9
256,1
257,10
258,5
259,10
260,10
261,7
262,7
263,9
264,2
265,5
266,10
267,5
268,7
269,5
270,10
271,7
272,1
273,1
274,1
275,12
276,1
277,1
278,15
279,5
280,9
281,1
282,1
283,1
284,2
285,10
286,2
287,2
288,12
289,6
290,6
291,5
292,1
293,10
294,6
295,6
296,8
297,2
298,6
299,2
300,12
301,16
302,16
303,6
304,6
305,10
306,2
307,10
308,10
309,10
310,6
311,2
312,10
313,10
314,2
315,2
316,16
317,6
318,6
319,8
320,9
321,6
322,6
323,0
324,4
325,9
326,4
327,9
328,4
329,9
330,2
331,4
332,4
333,7
334,1
335,15
336,15
337,4
338,15
339,4
340,15
341,15
342,10
343,1
344,0
345,7
346,6
347,0
348,2
349,7
350,2
351,2
352,2
353,7
354,4
355,4
356,15
357,15
358,6
359,6
360,6
361,6
362,6
363,0
364,2
365,2
366,11
367,13
368,10
369,11
370,12
371,7
372,0
373,15
374,10
375,6
376,16
377,11
378,6
379,9
380,16
381,6
382,9
383,6
384,9
385,16
386,19
387,7
388,15
389,6
390,2
391,6
392,6
393,2
394,2
395,2
396,10
397,7
398,19
399,10
400,2
401,15
402,2
403,15
404,7
405,9
406,2
407,2
408,2
409,8
410,9
411,0
412,2
413,15
414,15
415,15
416,2
417,12
418,9
419,9
420,4
421,0
422,4
423,6
424,11
425,2
426,2
427,17
428,2
429,0
430,2
431,17
432,2
433,0
434,17
435,2
436,9
437,0
438,0
439,9
440,6
441,0
442,4
443,2
444,2
445,0
446,4
447,0
448,9
449,2
450,0
451,9
452,2
453,6
454,2
455,4
456,2
457,4
458,15
459,6
460,5
461,17
462,0
463,15
464,4
465,13
466,9
467,5
468,4
469,12
470,9
471,9
472,9
473,0
474,0
475,12
476,12
477,9
478,13
479,15
480,16
481,0
482,7
483,2
484,16
485,17
486,17
487,7
488,0
489,8
490,8
491,17
492,0
493,5
494,5
495,17
496,6
497,5
498,7
499,9
500,8
501,17
502,8
503,7
504,17
505,17
506,17
507,16
508,5
509,16
510,2
511,17
512,17
513,8
514,7
515,17
516,17
517,17
518,9
519,2
520,2
521,9
522,17
523,0
